Temp (K)	k (W/m-K)
298         37.1754                              
300         36.9601               
373         30.2503    
400         27.2090   
473         22.5099   
500         20.9300 
600         16.3045 
673         13.1378   
700         12.5580      
800         10.4650     
873         9.1211    
900         8.9999     
1000        7.9534   
1073        7.1965    
1100        7.1792  
1200        6.8023     
1273        6.1505  
1300        6.2467 
1400        5.9651     
1473        5.7992     
1500        5.8604      
1573        5.8604    
1600        5.8604
