Temp(K)	    k(W/m-K)
1	        1.44
2	        2.88
3	        4.32
4           5.75
5	        7.19
6	        8.63
7	        10.1
8	        11.5
9	        12.9
10	        14.3
15	        21.2
20	        27.5
30	        36.5
40	        39
50	        37.4
60	        35.5
70	        34
80	        32.6
90	        31.5
100       	30.5
150       	27
200       	24.5
250       	22.9
300         21.9
350       	21
400       	20.4
500       	19.7
600       	19.4
800       	19.7
100       	20.7
1200		22
1400		23.6
1600		25.3
1800		27
