Temp(K)	    k(W/m-K)
250.0	      9.5
251.0	      9.48
252.0	      9.47
253.0	      9.45
254.0	      9.44
255.0	      9.42
256.0	      9.41
257.0	      9.39
258.0	      9.38
259.0	      9.36
260.0	      9.35
261.0	      9.34
262.0	      9.32
263.0	      9.31
264.0	      9.29
265.0	      9.28
266.0	      9.26
267.0	      9.25
268.0	      9.23
269.0	      9.22
270.0	      9.2
271.0	      9.19
272.0	      9.18
273.0	      9.16
274.0	      9.15
275.0	      9.13
276.0	      9.12
277.0	      9.1
278.0	      9.09
279.0	      9.08
280.0	      9.06
281.0	      9.05
282.0	      9.03
283.0	      9.02
284.0	      9.01
285.0	      8.99
286.0	      8.98
287.0	      8.97
288.0	      8.95
289.0	      8.94
290.0	      8.92
291.0	      8.91
292.0	      8.9
293.0	      8.88
294.0	      8.87
295.0	      8.86
296.0	      8.84
297.0	      8.83
298.0	      8.82
299.0	      8.8
300.0	      8.79
301.0	      8.78
302.0	      8.76
303.0	      8.75
304.0	      8.74
305.0	      8.72
306.0	      8.71
307.0	      8.7
308.0	      8.69
309.0	      8.67
310.0	      8.66
311.0	      8.65
312.0	      8.63
313.0	      8.62
314.0	      8.61
315.0	      8.6
316.0	      8.58
317.0	      8.57
318.0	      8.56
319.0	      8.54
320.0	      8.53
321.0	      8.52
322.0	      8.51
323.0	      8.49
324.0	      8.48
325.0	      8.47
326.0	      8.46
327.0	      8.44
328.0	      8.43
329.0	      8.42
330.0	      8.41
331.0	      8.4
332.0	      8.38
333.0	      8.37
334.0	      8.36
335.0	      8.35
336.0	      8.33
337.0	      8.32
338.0	      8.31
339.0	      8.3
340.0	      8.29
341.0	      8.27
342.0	      8.26
343.0	      8.25
344.0	      8.24
345.0	      8.23
346.0	      8.22
347.0	      8.2
348.0	      8.19
349.0	      8.18
350.0	      8.17
351.0	      8.16
352.0	      8.15
353.0	      8.13
354.0	      8.12
355.0	      8.11
356.0	      8.1
357.0	      8.09
358.0	      8.08
359.0	      8.07
360.0	      8.05
361.0	      8.04
362.0	      8.03
363.0	      8.02
364.0	      8.01
365.0	      8.0
366.0	      7.99
367.0	      7.97
368.0	      7.96
369.0	      7.95
370.0	      7.94
371.0	      7.93
372.0	      7.92
373.0	      7.91
374.0	      7.9
375.0	      7.89
376.0	      7.88
377.0	      7.86
378.0	      7.85
379.0	      7.84
380.0	      7.83
381.0	      7.82
382.0	      7.81
383.0	      7.8
384.0	      7.79
385.0	      7.78
386.0	      7.77
387.0	      7.76
388.0	      7.75
389.0	      7.74
390.0	      7.72
391.0	      7.71
392.0	      7.7
393.0	      7.69
394.0	      7.68
395.0	      7.67
396.0	      7.66
397.0	      7.65
398.0	      7.64
399.0	      7.63
400.0	      7.62
401.0	      7.61
402.0	      7.6
403.0	      7.59
404.0	      7.58
405.0	      7.57
406.0	      7.56
407.0	      7.55
408.0	      7.54
409.0	      7.53
410.0	      7.52
411.0	      7.51
412.0	      7.5
413.0	      7.49
414.0	      7.48
415.0	      7.47
416.0	      7.46
417.0	      7.45
418.0	      7.44
419.0	      7.43
420.0	      7.42
421.0	      7.41
422.0	      7.4
423.0	      7.39
424.0	      7.38
425.0	      7.37
426.0	      7.36
427.0	      7.35
428.0	      7.34
429.0	      7.33
430.0	      7.32
431.0	      7.31
432.0	      7.3
433.0	      7.29
434.0	      7.28
435.0	      7.27
436.0	      7.26
437.0	      7.25
438.0	      7.25
439.0	      7.24
440.0	      7.23
441.0	      7.22
442.0	      7.21
443.0	      7.2
444.0	      7.19
445.0	      7.18
446.0	      7.17
447.0	      7.16
448.0	      7.15
449.0	      7.14
450.0	      7.13
451.0	      7.12
452.0	      7.11
453.0	      7.11
454.0	      7.1
455.0	      7.09
456.0	      7.08
457.0	      7.07
458.0	      7.06
459.0	      7.05
460.0	      7.04
461.0	      7.03
462.0	      7.02
463.0	      7.02
464.0	      7.01
465.0	      7.0
466.0	      6.99
467.0	      6.98
468.0	      6.97
469.0	      6.96
470.0	      6.95
471.0	      6.94
472.0	      6.94
473.0	      6.93
474.0	      6.92
475.0	      6.91
476.0	      6.9
477.0	      6.89
478.0	      6.88
479.0	      6.87
480.0	      6.87
481.0	      6.86
482.0	      6.85
483.0	      6.84
484.0	      6.83
485.0	      6.82
486.0	      6.81
487.0	      6.81
488.0	      6.8
489.0	      6.79
490.0	      6.78
491.0	      6.77
492.0	      6.76
493.0	      6.76
494.0	      6.75
495.0	      6.74
496.0	      6.73
497.0	      6.72
498.0	      6.71
499.0	      6.71
500.0	      6.7
501.0	      6.69
502.0	      6.68
503.0	      6.67
504.0	      6.66
505.0	      6.66
506.0	      6.65
507.0	      6.64
508.0	      6.63
509.0	      6.62
510.0	      6.62
511.0	      6.61
512.0	      6.6
513.0	      6.59
514.0	      6.58
515.0	      6.58
516.0	      6.57
517.0	      6.56
518.0	      6.55
519.0	      6.54
520.0	      6.54
521.0	      6.53
522.0	      6.52
523.0	      6.51
524.0	      6.5
525.0	      6.5
526.0	      6.49
527.0	      6.48
528.0	      6.47
529.0	      6.47
530.0	      6.46
531.0	      6.45
532.0	      6.44
533.0	      6.43
534.0	      6.43
535.0	      6.42
536.0	      6.41
537.0	      6.4
538.0	      6.4
539.0	      6.39
540.0	      6.38
541.0	      6.37
542.0	      6.37
543.0	      6.36
544.0	      6.35
545.0	      6.34
546.0	      6.34
547.0	      6.33
548.0	      6.32
549.0	      6.31
550.0	      6.31
551.0	      6.3
552.0	      6.29
553.0	      6.28
554.0	      6.28
555.0	      6.27
556.0	      6.26
557.0	      6.25
558.0	      6.25
559.0	      6.24
560.0	      6.23
561.0	      6.22
562.0	      6.22
563.0	      6.21
564.0	      6.2
565.0	      6.2
566.0	      6.19
567.0	      6.18
568.0	      6.17
569.0	      6.17
570.0	      6.16
571.0	      6.15
572.0	      6.15
573.0	      6.14
574.0	      6.13
575.0	      6.12
576.0	      6.12
577.0	      6.11
578.0	      6.1
579.0	      6.1
580.0	      6.09
581.0	      6.08
582.0	      6.07
583.0	      6.07
584.0	      6.06
585.0	      6.05
586.0	      6.05
587.0	      6.04
588.0	      6.03
589.0	      6.03
590.0	      6.02
591.0	      6.01
592.0	      6.01
593.0	      6.0
594.0	      5.99
595.0	      5.99
596.0	      5.98
597.0	      5.97
598.0	      5.97
599.0	      5.96
600.0	      5.95
601.0	      5.94
602.0	      5.94
603.0	      5.93
604.0	      5.92
605.0	      5.92
606.0	      5.91
607.0	      5.9
608.0	      5.9
609.0	      5.89
610.0	      5.88
611.0	      5.88
612.0	      5.87
613.0	      5.87
614.0	      5.86
615.0	      5.85
616.0	      5.85
617.0	      5.84
618.0	      5.83
619.0	      5.83
620.0	      5.82
621.0	      5.81
622.0	      5.81
623.0	      5.8
624.0	      5.79
625.0	      5.79
626.0	      5.78
627.0	      5.77
628.0	      5.77
629.0	      5.76
630.0	      5.76
631.0	      5.75
632.0	      5.74
633.0	      5.74
634.0	      5.73
635.0	      5.72
636.0	      5.72
637.0	      5.71
638.0	      5.7
639.0	      5.7
640.0	      5.69
641.0	      5.69
642.0	      5.68
643.0	      5.67
644.0	      5.67
645.0	      5.66
646.0	      5.65
647.0	      5.65
648.0	      5.64
649.0	      5.64
650.0	      5.63
651.0	      5.62
652.0	      5.62
653.0	      5.61
654.0	      5.61
655.0	      5.6
656.0	      5.59
657.0	      5.59
658.0	      5.58
659.0	      5.58
660.0	      5.57
661.0	      5.56
662.0	      5.56
663.0	      5.55
664.0	      5.55
665.0	      5.54
666.0	      5.53
667.0	      5.53
668.0	      5.52
669.0	      5.52
670.0	      5.51
671.0	      5.5
672.0	      5.5
673.0	      5.49
674.0	      5.49
675.0	      5.48
676.0	      5.47
677.0	      5.47
678.0	      5.46
679.0	      5.46
680.0	      5.45
681.0	      5.45
682.0	      5.44
683.0	      5.43
684.0	      5.43
685.0	      5.42
686.0	      5.42
687.0	      5.41
688.0	      5.41
689.0	      5.4
690.0	      5.39
691.0	      5.39
692.0	      5.38
693.0	      5.38
694.0	      5.37
695.0	      5.37
696.0	      5.36
697.0	      5.35
698.0	      5.35
699.0	      5.34
700.0	      5.34
701.0	      5.33
702.0	      5.33
703.0	      5.32
704.0	      5.32
705.0	      5.31
706.0	      5.3
707.0	      5.3
708.0	      5.29
709.0	      5.29
710.0	      5.28
711.0	      5.28
712.0	      5.27
713.0	      5.27
714.0	      5.26
715.0	      5.25
716.0	      5.25
717.0	      5.24
718.0	      5.24
719.0	      5.23
720.0	      5.23
721.0	      5.22
722.0	      5.22
723.0	      5.21
724.0	      5.21
725.0	      5.2
726.0	      5.2
727.0	      5.19
728.0	      5.18
729.0	      5.18
730.0	      5.17
731.0	      5.17
732.0	      5.16
733.0	      5.16
734.0	      5.15
735.0	      5.15
736.0	      5.14
737.0	      5.14
738.0	      5.13
739.0	      5.13
740.0	      5.12
741.0	      5.12
742.0	      5.11
743.0	      5.11
744.0	      5.1
745.0	      5.1
746.0	      5.09
747.0	      5.08
748.0	      5.08
749.0	      5.07
750.0	      5.07
751.0	      5.06
752.0	      5.06
753.0	      5.05
754.0	      5.05
755.0	      5.04
756.0	      5.04
757.0	      5.03
758.0	      5.03
759.0	      5.02
760.0	      5.02
761.0	      5.01
762.0	      5.01
763.0	      5.0
764.0	      5.0
765.0	      4.99
766.0	      4.99
767.0	      4.98
768.0	      4.98
769.0	      4.97
770.0	      4.97
771.0	      4.96
772.0	      4.96
773.0	      4.95
774.0	      4.95
775.0	      4.94
776.0	      4.94
777.0	      4.93
778.0	      4.93
779.0	      4.92
780.0	      4.92
781.0	      4.91
782.0	      4.91
783.0	      4.9
784.0	      4.9
785.0	      4.9
786.0	      4.89
787.0	      4.89
788.0	      4.88
789.0	      4.88
790.0	      4.87
791.0	      4.87
792.0	      4.86
793.0	      4.86
794.0	      4.85
795.0	      4.85
796.0	      4.84
797.0	      4.84
798.0	      4.83
799.0	      4.83
800.0	      4.82
801.0	      4.82
802.0	      4.81
803.0	      4.81
804.0	      4.8
805.0	      4.8
806.0	      4.8
807.0	      4.79
808.0	      4.79
809.0	      4.78
810.0	      4.78
811.0	      4.77
812.0	      4.77
813.0	      4.76
814.0	      4.76
815.0	      4.75
816.0	      4.75
817.0	      4.74
818.0	      4.74
819.0	      4.74
820.0	      4.73
821.0	      4.73
822.0	      4.72
823.0	      4.72
824.0	      4.71
825.0	      4.71
826.0	      4.7
827.0	      4.7
828.0	      4.69
829.0	      4.69
830.0	      4.69
831.0	      4.68
832.0	      4.68
833.0	      4.67
834.0	      4.67
835.0	      4.66
836.0	      4.66
837.0	      4.65
838.0	      4.65
839.0	      4.65
840.0	      4.64
841.0	      4.64
842.0	      4.63
843.0	      4.63
844.0	      4.62
845.0	      4.62
846.0	      4.61
847.0	      4.61
848.0	      4.61
849.0	      4.6
